frame,quality,det_H,reproj_error_px,frames_since_valid,warmed_up,proc_time_ms
330,0.25,1.402253e-02,0.0,0,1,331.94
331,0.25,1.402359e-02,0.0,0,1,331.01
332,0.25,1.402781e-02,0.0,0,1,331.1
333,0.25,1.403201e-02,0.0,0,1,330.96
334,0.25,1.403618e-02,0.0,0,1,333.03
335,0.25,1.403823e-02,0.0,0,1,331.69
336,0.25,1.404027e-02,0.0,0,1,331.63
337,0.25,1.403897e-02,0.0,0,1,329.61
338,0.25,1.403768e-02,0.0,0,1,332.84
339,0.25,1.403639e-02,0.0,0,1,332.54
340,0.25,1.403547e-02,0.0,0,1,329.08
341,0.25,1.403456e-02,0.0,0,1,330.52
342,0.25,1.403417e-02,0.0,0,1,330.02
343,0.25,1.403378e-02,0.0,0,1,327.48
344,0.25,1.403687e-02,0.0,0,1,330.37
345,0.25,1.403995e-02,0.0,0,1,329.04
346,0.25,1.404302e-02,0.0,0,1,331.07
347,0.25,1.403985e-02,0.0,0,1,331.13
348,0.25,1.403670e-02,0.0,0,1,331.47
349,0.25,1.403399e-02,0.0,0,1,339.25
350,0.25,1.403131e-02,0.0,0,1,337.47
351,0.25,1.402864e-02,0.0,0,1,334.58
352,0.25,1.402640e-02,0.0,0,1,332.47
353,0.25,1.402418e-02,0.0,0,1,332.93
354,0.25,1.402537e-02,0.0,0,1,331.86
355,0.25,1.402657e-02,0.0,0,1,330.42
356,0.5,1.402029e-02,0.0,0,1,333.97
357,0.5,1.401409e-02,0.0,0,1,331.12
358,0.5,1.400797e-02,0.0,0,1,331.77
359,0.25,1.400576e-02,0.0,0,1,333.91
360,0.25,1.400357e-02,0.0,0,1,330.08
361,0.25,1.400204e-02,0.0,0,1,331.62
362,0.25,1.400052e-02,0.0,0,1,333.7
363,0.25,1.399901e-02,0.0,0,1,332.28
364,0.5,1.399572e-02,0.0,0,1,331.42
365,0.5,1.399247e-02,0.0,0,1,331.12
366,0.25,1.399206e-02,0.0,0,1,332.25
367,0.25,1.399108e-02,0.0,0,1,332.9
368,0.25,1.399074e-02,0.0,0,1,328.91
369,0.25,1.399040e-02,0.0,0,1,329.89
370,0.25,1.399007e-02,0.0,0,1,333.51
371,0.25,1.399101e-02,0.0,0,1,330.78
372,0.25,1.399195e-02,0.0,0,1,333.4
373,0.25,1.399571e-02,0.0,0,1,330.18
374,0.25,1.399946e-02,0.0,0,1,332.59
375,0.25,1.400319e-02,0.0,0,1,330.32
376,0.25,1.400454e-02,0.0,0,1,331.96
377,0.25,1.400520e-02,0.0,0,1,333.91
378,0.5,1.399956e-02,0.0,0,1,333.19
379,0.5,1.399399e-02,0.0,0,1,330.89
380,0.5,1.398934e-02,0.0,0,1,335.91
381,0.5,1.398473e-02,0.0,0,1,332.65
382,0.5,1.398018e-02,0.0,0,1,333.07
383,0.5,1.397185e-02,0.0,0,1,333.1
384,0.5,1.396360e-02,0.0,0,1,330.58
385,0.5,1.395589e-02,0.0,0,1,332.28
386,0.5,1.394826e-02,0.0,0,1,333.3
387,0.5,1.394072e-02,0.0,0,1,334.37
388,0.5,1.393469e-02,0.0,0,1,333.1
389,0.5,1.392872e-02,0.0,0,1,332.76
390,0.5,1.392582e-02,0.0,0,1,335.49
391,0.5,1.392296e-02,0.0,0,1,355.16
392,0.25,1.392240e-02,0.0,0,1,350.49
393,0.25,1.392184e-02,0.0,0,1,333.14
394,0.25,1.392128e-02,0.0,0,1,333.6
395,0.25,1.392167e-02,0.0,0,1,334.51
396,0.25,1.392205e-02,0.0,0,1,338.31
397,0.25,1.392231e-02,0.0,0,1,335.1
398,0.25,1.392258e-02,0.0,0,1,336.85
399,0.25,1.392284e-02,0.0,0,1,338.02
400,0.25,1.392316e-02,0.0,0,1,337.33
401,0.25,1.392348e-02,0.0,0,1,336.65
402,0.5,1.392335e-02,0.0,0,1,336.05
403,0.5,1.392322e-02,0.0,0,1,337.99
404,0.25,1.392315e-02,0.0,0,1,336.89
405,0.25,1.392308e-02,0.0,0,1,334.82
406,0.25,1.392301e-02,0.0,0,1,337.95
407,0.25,1.392379e-02,0.0,0,1,339.57
408,0.25,1.392457e-02,0.0,0,1,336.41
409,0.5,1.392175e-02,0.0,0,1,339.69
410,0.5,1.391897e-02,0.0,0,1,342.27
411,0.5,1.391621e-02,0.0,0,1,339.41
412,0.5,1.391144e-02,0.0,0,1,335.18
413,0.5,1.390672e-02,0.0,0,1,336.57
414,0.5,1.390117e-02,0.0,0,1,335.53
415,0.5,1.389567e-02,0.0,0,1,336.66
416,0.5,1.388910e-02,0.0,0,1,334.87
417,0.5,1.388258e-02,0.0,0,1,335.09
418,0.5,1.387613e-02,0.0,0,1,335.46
419,0.5,1.387011e-02,0.0,0,1,339.03
420,0.5,1.386414e-02,0.0,0,1,336.55
421,0.5,1.385775e-02,0.0,0,1,335.63
422,0.5,1.385142e-02,0.0,0,1,334.54
423,0.5,1.384514e-02,0.0,0,1,336.33
424,0.5,1.383940e-02,0.0,0,1,335.67
425,0.5,1.383371e-02,0.0,0,1,335.1
426,0.5,1.382902e-02,0.0,0,1,339.22
427,0.5,1.382437e-02,0.0,0,1,337.63
428,0.5,1.382266e-02,0.0,0,1,339.57
429,0.5,1.382096e-02,0.0,0,1,336.39
430,0.5,1.381929e-02,0.0,0,1,336.72
431,0.5,1.381699e-02,0.0,0,1,337.58
432,0.5,1.381366e-02,0.0,0,1,336.08
433,0.5,1.380767e-02,0.0,0,1,336.51
434,0.5,1.380173e-02,0.0,0,1,338.14
435,0.5,1.379584e-02,0.0,0,1,337.9
436,0.5,1.379278e-02,0.0,0,1,338.22
437,0.5,1.378974e-02,0.0,0,1,340.06
438,0.5,1.378454e-02,0.0,0,1,339.12
439,0.5,1.377938e-02,0.0,0,1,342.6
440,0.5,1.377493e-02,0.0,0,1,340.65
441,0.5,1.377051e-02,0.0,0,1,339.49
442,0.5,1.376613e-02,0.0,0,1,339.14
443,0.5,1.376321e-02,0.0,0,1,339.38
444,0.5,1.376031e-02,0.0,0,1,341.33
445,0.5,1.375809e-02,0.0,0,1,338.72
446,0.5,1.375590e-02,0.0,0,1,338.59
447,0.5,1.375372e-02,0.0,0,1,338.8
448,0.5,1.374978e-02,0.0,0,1,344.68
449,0.5,1.374607e-02,0.0,0,1,346.85
450,0.5,1.374219e-02,0.0,0,1,345.05
451,0.5,1.373835e-02,0.0,0,1,340.3
452,0.5,1.373691e-02,0.0,0,1,339.8
453,0.5,1.373548e-02,0.0,0,1,344.16
454,0.5,1.373406e-02,0.0,0,1,338.62
455,0.5,1.373125e-02,0.0,0,1,339.88
456,0.5,1.372847e-02,0.0,0,1,341.94
457,0.5,1.372519e-02,0.0,0,1,341.25
458,0.5,1.372194e-02,0.0,0,1,339.99
459,0.5,1.371872e-02,0.0,0,1,342.34
460,0.5,1.371603e-02,0.0,0,1,344.58
461,0.5,1.371335e-02,0.0,0,1,342.32
462,0.5,1.371093e-02,0.0,0,1,342.01
463,0.5,1.370852e-02,0.0,0,1,343.85
464,0.5,1.370614e-02,0.0,0,1,342.37
465,0.5,1.370377e-02,0.0,0,1,346.23
466,0.5,1.370142e-02,0.0,0,1,343.99
467,0.5,1.369907e-02,0.0,0,1,342.61
468,0.5,1.369674e-02,0.0,0,1,345.18
469,0.5,1.369329e-02,0.0,0,1,347.72
470,0.5,1.368987e-02,0.0,0,1,344.4
471,0.5,1.368647e-02,0.0,0,1,344.23
472,0.5,1.368367e-02,0.0,0,1,345.11
473,0.5,1.368090e-02,0.0,0,1,345.56
474,0.5,1.367729e-02,0.0,0,1,347.37
475,0.5,1.367371e-02,0.0,0,1,346.46
476,0.5,1.367090e-02,0.0,0,1,347.54
477,0.5,1.366811e-02,0.0,0,1,345.31
478,0.5,1.366534e-02,0.0,0,1,347.27
479,0.5,1.366440e-02,0.0,0,1,346.95
480,0.5,1.366346e-02,0.0,0,1,347.82
481,0.5,1.366300e-02,0.0,0,1,347.93
482,0.5,1.366255e-02,0.0,0,1,345.26
483,0.5,1.366209e-02,0.0,0,1,347.19
484,0.5,1.366068e-02,0.0,0,1,347.8
485,0.5,1.365929e-02,0.0,0,1,346.49
486,0.5,1.365754e-02,0.0,0,1,348.45
487,0.5,1.365580e-02,0.0,0,1,349.84
488,0.5,1.365449e-02,0.0,0,1,346.74
489,0.5,1.365318e-02,0.0,0,1,346.87
